,title,posted_by,content
0,"T20 World Cup: Virat Kohli Is ""Obsessive"", He Wants ""To Be The Best"", Says Namibia All-Rounder David Wiese","Asian News International | Tuesday October 05, 2021","T20 World Cup: Ahead of the tournament, Namibia all-rounder and former South Africa cricketer David Wiese spoke about Virat Kohli's passion for the game."
1,"OnePlus 9RT Specifications Tipped to Include Snapdragon 888, 65W Charging; OnePlus 9RT Joint Edition Rumoured","Jagmeet Singh | Tuesday October 05, 2021","OnePlus 9RT specifications have been tipped and are said to include a 50-megapixel primary camera sensor and Qualcomm Snapdragon 888. In addition to the OnePlus 9RT, OnePlus is said to have the OnePlus Joint Edition in the works."
2,North Korea Pursues Weapons Despite Covid Blockade: UN Report,"Agence France-Presse | Tuesday October 05, 2021, Seoul","North Korea has continued to pursue its weapons development programmes despite facing a worsening economic situation due to its self-imposed coronavirus blockade, a new UN report has said."
3,,,
4,"Punjab Board To Conduct Class 10, 12 Board Exams In Two Terms From This Session","Written by Mridusmita Deka | Tuesday October 05, 2021","PSEB Board Exams 2022: Along with Class 10 and Class 12, the exams in two terms - Term 1 and Term 2, will also be held for the students of Class 5 and Class 8."
5,"Priyanka Gandhi Vadra's Detention ""Totally Illegal"": P Chidambaram","Press Trust of India | Tuesday October 05, 2021, New Delhi","Describing Congress general secretary Priyanka Gandhi Vadra's detention as ""totally illegal"", senior party leader P Chidambaram said it has ""conclusively"" established that there is no rule of law in Uttar Pradesh."
6,Can You Guess The Actress In The Video Acing A Viral Dance Challenge,"Written by Pranita Chaubey | Tuesday October 05, 2021, New Delhi",So you think you can dance like this star?
7,,,
8,French Bishops Ask For Forgiveness After Church Sex Abuse Report Released,"Reuters | Tuesday October 05, 2021, Paris","A representative of France's Catholic's bishops on Tuesday asked victims of sexual abuse by clergy for their forgiveness, after a report was published on the scale of abuse in the French church going back decades."
9,Telecom Stocks Gain As Government Willing To Reconsider Spectrum Charges,"Edited by Abhishek Vasudev | Tuesday October 05, 2021",One-time spectrum fees are charges that operators have to pay for holding radiowaves beyond a prescribed limit.
10,"Facebook Deletes Some Content Banned in Russia, but Still Faces Fine: Report","Reuters | Tuesday October 05, 2021","Facebook has complied with Russian demands to delete some banned content, but it could still face a hefty fine as it was slow to do so, the Vedomosti newspaper cited state communications regulator Roskomnadzor as saying."
11,"Astronaut Barbie Takes Zero-Gravity Flight to Inspire Young Girls to Take Up Career in Space, STEM","Edited by Gadgets 360 Newsdesk | Tuesday October 05, 2021",The European Space Agency (ESA) has put a special Barbie doll — modelled after European astronaut Samantha Cristoforetti — in zero-gravity at a base in Germany to prepare it for the environment before heading off to space.
12,"Families Of 3 Farmers, Who Were Run Over, Agree To Cremation: 10 Points","Edited by Anindita Sanyal | Tuesday October 05, 2021, Lucknow","The families of farmers who died in UP's Lakhimpur Kheri -- allegedly mowed down by a car driven by the son of a union minister -- have agreed to cremate the bodies. Initially they refused cremation, demanding postmortem reports and copy of the FIR."
13,Gokaldas Exports Shares Locked In Upper Circuit For 2nd Straight Session,"Edited by Abhishek | Tuesday October 05, 2021","Gokaldas Exports shares have so far this year advanced over 150 per cent to hit high of ₹ 224, massively outperforming the Sensex which has gained 25 per cent."
14,Former District Chief From Rahul Gandhi's Lok Sabha Seat Quits Congress,"Press Trust of India | Tuesday October 05, 2021, Kalpetta , Kerala","The Congress suffered another setback in Kerala's Wayanad, which is also a VIP Lok Sabha seat represented by Rahul Gandhi, with former DCC president P V Balachandran quitting the party on Tuesday."
15,"Expect New IPL Teams Going For ₹ 3000-4000 Crore, Says Punjab Kings Co-Owner Ness Wadia","Press Trust of India | Tuesday October 05, 2021",Punjab Kings co-owner Ness Wadia feels ₹ 2000 crore base price for two new IPL teams is a conservative number which should go up by 50 to 100 per cent during bidding.
16,Siddharth Chopra's Birthday Special Post For Neelam Upadhyaya. Here's How She's Celebrating,"Written by Nilanjana Basu | Tuesday October 05, 2021, New Delhi","""Happiest of birthdays to Neelam Upadhyaya. You have been a great inspiration and an amazing soul to know,"" wrote Siddharth Chopra"
17,Watch: Delhi Capitals Cricketer Celebrates Win Over Chennai Super Kings With Cristiano Ronaldo's Famous Celebration,"Neelav Chakravarti | Tuesday October 05, 2021","IPL 2021, DC vs CSK: Celebrating their win against Chennai Super Kings, Delhi Capitals took to social media to share a video of the ecstatic scenes in the dressing room."
18,"""Won't Bend To Pressure"": Taiwan's President Amid China Incursions","Agence France-Presse | Tuesday October 05, 2021, Taipei","Taiwan lives under the constant threat of invasion by China, which views the self-ruled democratic island as its territory to be re-taken one day, by force if necessary."
19,"Chhattisgarh Chief Minister Stopped At Lucknow Airport, Sits On Floor","Tuesday October 05, 2021","Chhattisgarh Chief Minister Bhupesh Baghel was seen sitting on the floor outside the Lucknow airport in a photo he tweeted after he was stopped today by police amid widespread protests against eight deaths in Uttar Pradesh's Lakhimpur district, about"
20,,,
21,"Odisha: Free Medical, Engineering Entrance Coaching For SC, ST Students","Written by Aarzoo Snigdha | Tuesday October 05, 2021","The Odisha government has announced its plans to provide free coaching to SC, ST students in the state for medical and engineering entrance examinations. The coaching will be provided under under the Chatra Protshahan Scheme."
22,"""Don't Go For A Kill"": Court To Tamil Nadu Forest Officials Searching For Tiger","Asian News International | Tuesday October 05, 2021, Chennai",The Madras High Court has asked the Tamil Nadu Forest Department not to kill a tiger immediately as it may not be a man-eater tiger.
23,Pepper Chicken Recipe: A Tantalising Fiery Chicken Starter Recipe That You Must Try,"Tuesday October 05, 2021",Pepper chicken is a delicacy from Andhra Pradesh that is all things spice and easy to make.
24,,,
25,"Government Plans To Handle Worsening Coal Crisis On ""War Footing""","Agence France-Presse | Tuesday October 05, 2021, New Delhi","India is facing possible energy supply problems in the coming months due to coal shortages and a post-pandemic surge in demand, the power minister said in a report published Tuesday."
26,TVS Signs MoU With Tata Power For Electric Charging Eco-System,"Written by carandbike team | Tuesday October 05, 2021","The two companies will also explore opportunities to use solar energy to power select TVS Motor Company locations, a joint statement said."
27,Gauahar Khan Is Eating Baklava In Her Trip To Turkey; Heres How You Can Make It,"Priyaja Bakshi | Tuesday October 05, 2021","Gauahar Khan is holidaying in Turkey, and she cant keep her hands off the delicious Turkish food! Take a look here."
28,Man Arrested After He Forgot To Hide Bag Of Meth In Facebook Pic,"Written by Sanya Jain | Tuesday October 05, 2021",A Missouri man trying to sell a catalytic converter on Facebook was arrested after a bag of methamphetamine and a syringe was spotted in the background of his photograph.
29,In-Form Mohamed Salah Switches Attention To World Cup As Egypt Aim For Top,"Agence France-Presse | Tuesday October 05, 2021","Mohamed Salah, fresh from scoring a brilliant goal for Liverpool against Manchester City, switches his attention to 2022 World Cup qualifying this week as Egypt hope to get their campaign back on track."
30,Seeking To Enhance Bilateral Trade Relationship With India: US Embassy,"Asian News International | Tuesday October 05, 2021, New Delhi",The Embassy of the United States in India on Tuesday said that the US is seeking to work with India to enhance bilateral trade relationship.
31,Top Gaming Laptops for PC Gamers on the Go,"Sourabh Kulesh | Tuesday October 05, 2021",Gaming laptops are equipped with powerful hardware to offer a seamless gaming experience. Here are a few gaming laptops you might want to purchase.
32,Delhi Lieutenant Governor Gets Proposal Of Doorstep Ration Delivery Scheme,"Asian News International | Tuesday October 05, 2021, New Delhi",Delhi Government on Tuesday again sends the proposal of doorstep delivery scheme for ration to Lieutenant Governor Anil Baijal.
33,NFT Sales Surge to $10.7 Billion in Q3 2021 as Crypto Asset Frenzy Hits New Highs,"Reuters | Tuesday October 05, 2021","NFT sales volume surged to $10.7 billion (roughly ₹ 79,820 crores) in the third quarter of 2021, up more than eightfold from the previous quarter, according to data from market tracker DappRadar, as the frenzy for crypto assets reached new highs."
34,Seeking To Enhance Bilateral Trade Relationship With India: US Embassy,"Asian News International | Tuesday October 05, 2021, New Delhi",The Embassy of the United States in India on Tuesday said that the US is seeking to work with India to enhance bilateral trade relationship.
35,Top Gaming Laptops for PC Gamers on the Go,"Sourabh Kulesh | Tuesday October 05, 2021",Gaming laptops are equipped with powerful hardware to offer a seamless gaming experience. Here are a few gaming laptops you might want to purchase.
36,Delhi Lieutenant Governor Gets Proposal Of Doorstep Ration Delivery Scheme,"Asian News International | Tuesday October 05, 2021, New Delhi",Delhi Government on Tuesday again sends the proposal of doorstep delivery scheme for ration to Lieutenant Governor Anil Baijal.
37,,,
38,NFT Sales Surge to $10.7 Billion in Q3 2021 as Crypto Asset Frenzy Hits New Highs,"Reuters | Tuesday October 05, 2021","NFT sales volume surged to $10.7 billion (roughly ₹ 79,820 crores) in the third quarter of 2021, up more than eightfold from the previous quarter, according to data from market tracker DappRadar, as the frenzy for crypto assets reached new highs."
